aX,aY,aZ,gX,gY,gZ
-1.161,-2.571,1.298,-51.147,-78.064,-276.001
-1.099,-2.655,1.674,-34.241,-74.280,-238.403
-1.060,-2.585,1.712,14.465,-47.791,-201.660
-1.017,-2.372,1.397,67.444,-15.015,-169.922
-1.074,-2.140,1.179,104.736,4.333,-148.071
-0.984,-1.909,1.142,120.850,9.583,-139.526
-0.936,-2.369,0.729,103.943,17.334,-148.437
-0.827,-2.712,0.636,50.964,10.864,-147.888
-0.709,-2.759,1.062,7.751,-13.367,-124.146
-0.620,-2.919,1.182,-11.963,-12.085,-98.145
-0.550,-2.800,1.216,3.845,0.916,-65.918
-0.494,-2.460,1.251,42.053,13.733,-30.701
-0.463,-2.106,1.054,67.078,31.616,-4.395
-0.462,-1.701,0.736,76.904,46.082,12.146
-0.431,-1.364,0.573,70.679,45.105,21.606
-0.397,-1.230,0.528,57.495,37.598,22.583
-0.355,-1.111,0.641,51.331,29.480,24.841
-0.321,-0.994,0.740,60.974,25.818,29.175
-0.301,-0.825,0.699,68.420,29.419,33.020
-0.288,-0.733,0.607,65.613,31.128,33.142
-0.285,-0.671,0.517,52.429,29.358,30.945
-0.274,-0.639,0.485,35.217,24.109,27.710
-0.270,-0.594,0.514,19.104,17.090,24.902
-0.274,-0.619,0.545,7.202,12.207,20.569
-0.275,-0.670,0.580,1.587,9.216,16.418
-0.281,-0.665,0.626,-0.061,7.019,15.442
-0.286,-0.639,0.634,-0.977,6.653,15.442
-0.295,-0.628,0.642,-2.380,6.592,14.771
-0.299,-0.654,0.630,-1.648,6.165,13.367
-0.303,-0.647,0.624,-2.441,5.432,13.367
-0.310,-0.659,0.660,-3.113,3.357,13.000
-0.320,-0.657,0.662,-2.747,3.052,12.451
-0.317,-0.661,0.646,-3.723,3.113,12.573
-0.310,-0.704,0.672,-7.568,2.258,11.780
-0.303,-0.729,0.698,-7.629,1.831,11.536
-0.295,-0.726,0.692,-7.568,3.723,13.000
-0.294,-0.709,0.668,-4.944,5.371,14.099
-0.287,-0.716,0.631,-2.197,6.348,13.794
-0.275,-0.728,0.583,-0.977,7.019,13.733
-0.266,-0.758,0.566,-0.244,5.981,13.489
-0.265,-0.753,0.610,-1.404,3.296,14.832
-0.265,-0.740,0.636,-3.296,2.197,16.541
-0.260,-0.779,0.665,-6.409,2.258,16.846
-0.260,-0.773,0.705,-11.841,2.197,18.372
-0.265,-0.738,0.681,-14.771,3.906,20.325
-0.258,-0.746,0.636,-13.550,5.005,20.630
-0.252,-0.791,0.625,-11.963,3.967,20.203
-0.246,-0.754,0.650,-11.963,1.770,22.766
-0.245,-0.729,0.684,-13.489,0.366,25.024
-0.243,-0.677,0.709,-13.184,0.061,26.001
-0.243,-0.691,0.702,-9.583,0.854,25.635
