aX,aY,aZ,gX,gY,gZ
-0.460,-3.217,-0.719,-19.775,-9.888,-90.393
-0.468,-4.000,-0.635,-2.747,-17.334,-73.730
-0.475,-4.000,-0.402,24.170,-16.113,-19.592
-0.497,-4.000,-0.454,54.321,-2.625,65.491
-0.637,-3.878,-0.514,71.106,5.127,143.311
-0.803,-3.500,-0.396,81.787,2.258,198.242
-0.990,-3.204,-0.417,70.007,8.301,236.572
-1.128,-2.769,-0.633,26.184,22.034,272.339
-1.225,-2.294,-0.813,-11.536,30.945,306.885
-1.281,-1.979,-1.047,-31.677,38.940,332.336
-1.238,-1.495,-1.473,-44.983,48.767,361.694
-1.145,-0.908,-1.838,-50.049,41.931,389.465
-1.100,-0.484,-1.874,-51.331,13.062,403.503
-1.133,-0.064,-1.655,-46.326,-19.348,409.424
-1.244,0.653,-1.292,-31.006,-44.373,413.696
-1.249,1.427,-0.840,-28.564,-59.387,403.931
-1.101,1.959,-0.476,-45.898,-60.120,369.690
-0.848,2.150,-0.368,-69.275,-42.053,317.749
-0.524,2.220,-0.525,-81.482,-18.555,263.184
-0.310,2.172,-0.672,-81.482,-6.714,214.233
-0.087,2.087,-0.712,-74.890,-8.667,170.654
0.077,1.784,-0.725,-65.186,-11.902,128.479
0.192,1.296,-0.779,-53.772,-10.864,92.224
0.234,0.881,-0.744,-38.696,-11.963,70.557
0.247,0.634,-0.637,-20.325,-18.066,59.998
0.256,0.402,-0.561,-12.817,-21.423,50.110
0.244,0.188,-0.507,-17.456,-19.592,40.649
0.236,-0.003,-0.473,-23.010,-15.076,33.813
0.292,-0.127,-0.498,-27.771,-7.324,30.151
0.357,-0.228,-0.594,-25.818,0.305,28.015
0.424,-0.240,-0.726,-18.188,7.202,29.480
0.455,-0.226,-0.786,-10.681,8.301,32.166
0.465,-0.217,-0.711,-4.761,3.174,32.349
0.453,-0.167,-0.616,-1.404,-0.916,31.433
0.450,-0.167,-0.517,-1.770,-2.136,26.855
0.458,-0.230,-0.499,-6.714,1.038,19.470
0.472,-0.278,-0.507,-12.146,5.371,14.099
0.468,-0.268,-0.525,-13.306,7.202,11.414
0.473,-0.278,-0.510,-13.794,8.118,7.812
0.501,-0.302,-0.510,-13.855,8.972,3.235
0.550,-0.370,-0.562,-13.123,12.024,-0.427
0.598,-0.472,-0.633,-12.329,13.977,-2.014
