aX,aY,aZ,gX,gY,gZ
-0.413,-2.130,2.181,-172.485,-239.563,-122.070
-0.280,-2.096,2.548,-99.243,-171.509,10.925
-0.209,-1.790,2.575,-43.457,-70.984,137.146
-0.231,-1.212,2.141,24.109,28.625,247.681
-0.228,-0.536,1.722,74.219,89.966,332.886
-0.039,0.042,1.414,124.268,103.577,387.817
0.187,0.377,1.011,205.322,90.515,407.043
0.295,0.708,0.858,228.210,53.467,405.273
0.466,1.022,0.893,183.105,15.686,376.282
0.563,1.068,0.878,161.804,-22.034,309.509
0.556,0.906,0.982,99.731,-47.546,205.872
0.507,0.614,1.302,-28.320,-68.481,110.779
0.390,0.285,1.624,-103.394,-82.153,39.185
0.259,-0.019,1.871,-131.836,-86.609,-12.573
0.000,-0.444,2.185,-166.382,-85.144,-54.443
-0.055,-0.937,2.798,-238.647,-80.688,-83.191
-0.018,-1.253,3.320,-254.578,-45.532,-64.880
-0.100,-1.366,3.267,-148.254,40.588,6.470
-0.240,-1.212,2.829,-63.965,147.949,89.478
-0.329,-0.894,2.152,-28.320,238.953,156.738
-0.342,-0.503,1.332,22.888,302.185,210.327
-0.426,-0.122,0.446,32.410,344.360,240.906
-0.300,0.208,-0.479,-9.033,352.722,246.033
-0.230,0.378,-1.146,-21.118,296.143,231.018
-0.235,0.522,-1.063,-96.985,191.589,194.702
-0.385,0.360,-0.409,-117.493,79.529,150.330
-0.214,0.060,0.340,-114.868,10.010,119.629
-0.079,-0.124,1.012,-155.640,-0.427,107.849
-0.170,-0.284,1.432,-131.287,17.822,115.295
-0.243,-0.319,1.518,-65.125,59.753,138.794
-0.308,-0.144,1.157,-29.907,117.737,169.922
-0.367,0.155,0.543,11.353,160.889,196.716
-0.384,0.441,0.113,35.034,170.532,208.740
-0.360,0.624,-0.144,37.109,157.410,202.942
-0.372,0.703,-0.282,25.024,139.221,186.646
-0.366,0.761,-0.473,23.499,125.977,170.959
-0.307,0.842,-0.696,29.663,113.953,159.546
-0.277,0.915,-0.865,30.945,93.933,148.376
-0.264,0.908,-0.912,27.100,64.819,134.888
-0.277,0.811,-0.827,12.268,34.729,121.094
-0.287,0.722,-0.778,9.949,13.550,114.319
-0.316,0.667,-0.736,18.921,0.061,115.845
-0.362,0.684,-0.727,25.635,-8.179,122.559
-0.406,0.775,-0.776,36.621,-15.564,131.531
-0.503,1.025,-0.864,47.119,-23.987,139.832
-0.636,1.437,-1.222,65.674,-27.527,146.118
-0.764,1.941,-1.712,86.975,-34.729,145.447
-0.913,2.350,-2.099,92.041,-65.552,124.756
-1.102,2.563,-2.066,80.444,-126.709,82.947
-1.243,2.416,-1.559,65.674,-198.181,27.649
-1.350,2.103,-0.935,40.894,-247.437,-22.400
-1.428,1.898,-0.543,37.109,-265.625,-53.833
-1.532,1.834,-0.378,52.612,-266.052,-71.655
-1.523,1.917,-0.349,66.101,-263.794,-82.764
-1.621,2.072,-0.275,81.604,-267.700,-95.032
-1.738,2.035,-0.034,82.397,-278.564,-119.690
-1.811,1.884,0.112,63.538,-282.593,-143.860
-1.861,1.822,0.228,51.941,-283.203,-157.227
-1.912,1.895,0.519,69.763,-292.786,-162.781
-1.953,1.973,0.975,104.431,-308.472,-172.974
-1.983,2.102,1.478,151.733,-319.153,-192.261
-2.022,2.228,1.950,188.049,-315.063,-223.755
-2.087,2.180,2.477,207.153,-295.410,-277.283
-2.180,1.800,3.051,196.472,-261.353,-349.731
-2.303,1.095,3.322,180.603,-204.468,-419.434
-2.378,0.169,2.791,150.879,-126.526,-469.666
-2.238,-1.375,1.985,65.491,-68.359,-509.155
-2.047,-3.469,1.827,-86.914,-73.486,-534.729
-1.756,-4.000,2.268,-211.243,-119.507,-480.652
-1.428,-4.000,3.091,-225.708,-162.537,-309.387
-1.130,-2.414,3.890,-126.099,-182.373,-101.746
-0.883,-0.389,4.000,-5.798,-167.236,-4.639
-0.745,0.129,4.000,30.579,-122.253,-47.852
-0.725,-0.913,4.000,5.493,-43.030,-151.611
-0.701,-2.113,3.454,-2.686,43.518,-208.984
-0.641,-2.295,2.355,38.269,100.647,-180.115
-0.513,-1.673,1.502,97.351,116.150,-117.371
-0.399,-1.083,1.190,119.690,97.412,-82.825
-0.333,-1.073,1.294,90.088,69.275,-89.417
-0.322,-1.449,1.443,36.560,56.274,-103.638
-0.330,-1.638,1.298,1.892,63.843,-91.003
-0.293,-1.411,0.983,-5.066,74.524,-52.856
-0.249,-0.943,0.818,3.357,71.228,-12.390
-0.204,-0.504,0.806,13.000,58.411,11.108
-0.178,-0.176,0.854,17.517,49.866,18.433
-0.140,-0.015,0.866,19.592,47.852,14.221
-0.129,0.024,0.855,22.400,49.561,5.676
-0.110,0.016,0.768,23.987,54.138,-0.549
-0.098,0.033,0.675,26.428,57.983,-1.648
-0.138,0.116,0.612,32.898,56.824,1.892
-0.111,0.209,0.554,41.748,53.650,5.005
-0.040,0.279,0.564,44.495,49.377,5.249
-0.002,0.304,0.651,49.438,40.527,3.479
0.019,0.325,0.676,57.190,34.790,1.038
0.025,0.338,0.675,66.956,30.579,-1.648
0.060,0.272,0.733,77.087,23.193,-6.836
0.084,0.182,0.770,83.069,18.066,-12.451
0.063,0.114,0.710,93.445,16.663,-13.550
0.048,0.014,0.546,120.361,13.794,-9.094
0.077,-0.093,0.382,158.752,5.188,-0.732
-0.006,-0.132,0.444,193.909,-14.832,14.099
0.010,-0.361,0.191,313.660,-34.485,35.767
-0.126,0.012,0.342,407.227,-77.881,74.402
0.007,0.037,0.085,478.577,-105.896,77.637
-0.107,-0.259,0.117,367.187,-133.423,45.532
-0.231,-0.604,0.454,171.021,-152.161,24.292
-0.444,-1.058,0.702,109.253,-168.335,44.189
-0.069,-1.010,1.003,148.621,-174.927,91.797
