aX,aY,aZ,gX,gY,gZ
-0.401,-2.227,-2.061,80.444,158.203,-289.185
-0.411,-2.175,-2.325,79.956,144.348,-263.000
-0.353,-2.132,-1.946,75.439,121.826,-242.310
0.123,-2.362,-2.006,59.143,110.413,-225.159
-0.458,-2.456,-2.215,34.485,108.032,-204.346
-0.274,-2.406,-2.531,16.296,89.417,-171.143
-0.109,-1.906,-2.116,-2.014,46.570,-131.165
-0.153,-2.448,-1.912,-12.085,29.541,-137.512
-0.215,-1.675,-1.868,-9.521,29.297,-113.037
-0.188,-1.381,-1.552,-9.644,16.113,-87.463
-0.209,-1.469,-1.517,-17.578,9.460,-105.225
-0.141,-1.484,-1.573,-15.503,8.545,-95.093
-0.034,-1.608,-1.387,-9.583,1.648,-88.806
-0.133,-1.313,-0.994,-0.061,-5.127,-67.932
-0.178,-0.898,-0.887,3.052,-3.357,-50.537
-0.192,-0.874,-0.881,-3.052,2.441,-55.847
-0.206,-0.833,-0.920,-13.916,-0.488,-49.500
-0.191,-0.731,-0.901,-22.278,-3.845,-45.044
-0.154,-0.785,-0.767,-29.358,-11.230,-45.776
-0.124,-0.865,-0.693,-31.372,-12.451,-46.631
-0.095,-0.944,-0.731,-26.855,-6.470,-45.410
-0.067,-1.012,-0.787,-20.142,-1.953,-43.579
-0.059,-0.986,-0.831,-13.855,-0.610,-35.950
-0.057,-0.976,-0.822,-9.460,-1.709,-31.555
-0.029,-0.991,-0.819,-7.080,-2.808,-26.978
-0.001,-1.043,-0.799,-4.761,-2.747,-23.804
-0.016,-0.990,-0.850,-2.563,-1.282,-16.663
-0.004,-0.939,-0.864,-1.648,-1.587,-10.254
-0.035,-0.880,-0.834,-2.502,-3.418,-5.615
-0.044,-0.827,-0.831,-3.784,-4.333,-2.014
-0.060,-0.785,-0.851,-4.639,-4.944,-0.366
-0.062,-0.751,-0.824,-4.822,-6.897,1.282
-0.077,-0.690,-0.740,-4.089,-8.423,1.831
-0.090,-0.674,-0.724,-2.441,-6.226,0.244
-0.080,-0.698,-0.804,-1.404,-2.380,-1.648
-0.085,-0.718,-0.810,-0.366,-2.014,-2.075
-0.073,-0.699,-0.772,0.366,-3.296,-1.038
-0.093,-0.702,-0.761,0.122,-3.113,-0.061
-0.115,-0.589,-0.788,-0.793,-2.197,3.784
-0.130,-0.575,-0.856,-2.197,-1.648,3.601
-0.131,-0.572,-0.808,-4.517,-4.211,1.099
-0.112,-0.613,-0.783,-6.104,-5.676,-1.343
-0.086,-0.653,-0.805,-6.714,-4.517,-2.991
-0.070,-0.671,-0.776,-7.324,-5.249,-2.563
-0.049,-0.684,-0.757,-7.385,-5.188,-2.502
-0.028,-0.733,-0.740,-6.897,-3.784,-1.770
-0.014,-0.756,-0.755,-6.836,-3.296,0.793
-0.009,-0.707,-0.757,-6.165,-2.563,4.639
-0.008,-0.665,-0.763,-5.981,-2.747,6.714
-0.009,-0.643,-0.793,-6.287,-2.563,6.653
-0.033,-0.640,-0.776,-5.859,-3.235,5.981
-0.019,-0.640,-0.753,-4.395,-3.357,4.333
-0.016,-0.660,-0.764,-2.686,-2.808,3.174
-0.023,-0.685,-0.772,-2.014,-2.258,2.197
-0.022,-0.696,-0.768,-1.526,-2.014,1.648
-0.031,-0.707,-0.776,-0.732,-1.099,1.587
-0.017,-0.730,-0.770,-0.244,-0.610,1.831
-0.031,-0.723,-0.779,0.244,0.488,2.319
-0.048,-0.686,-0.791,0.488,0.732,4.028
-0.057,-0.645,-0.800,0.244,0.366,4.395
-0.060,-0.643,-0.789,-0.183,-0.549,3.418
-0.051,-0.666,-0.790,-0.671,-0.671,1.709
-0.049,-0.647,-0.763,-1.160,-1.282,2.441
-0.051,-0.632,-0.746,-2.747,-1.770,2.747
-0.040,-0.665,-0.765,-3.967,-0.793,1.648
-0.027,-0.686,-0.783,-4.578,-0.732,1.343
-0.024,-0.708,-0.779,-5.310,-1.221,1.465
-0.027,-0.708,-0.782,-4.944,-1.343,2.197
-0.009,-0.724,-0.788,-4.150,-0.793,2.258
-0.008,-0.729,-0.782,-3.601,-0.854,2.930
-0.020,-0.718,-0.778,-2.747,-0.427,4.639
-0.017,-0.710,-0.789,-2.319,-0.122,5.432
-0.022,-0.715,-0.792,-1.953,0.183,5.310
-0.017,-0.712,-0.799,-1.648,-0.061,5.127
-0.018,-0.711,-0.797,-1.160,0.122,5.310
-0.016,-0.688,-0.787,-1.099,0.305,6.165
-0.005,-0.698,-0.800,-0.916,0.671,6.165
-0.014,-0.696,-0.825,-0.854,0.488,6.592
-0.007,-0.702,-0.810,-1.282,-1.038,7.568
