aX,aY,aZ,gX,gY,gZ
-0.018,-2.362,1.594,15.503,-10.254,27.588
-0.057,-2.461,1.694,18.433,-4.578,44.373
-0.162,-2.556,1.736,23.071,1.709,60.730
-0.306,-2.730,1.840,24.170,12.512,76.538
-0.487,-2.778,1.883,22.888,28.442,98.328
-0.702,-2.804,1.811,22.888,47.852,124.878
-0.987,-2.748,1.530,22.339,69.763,154.602
-1.154,-2.453,1.196,20.996,87.463,187.927
-1.198,-1.891,0.908,24.841,88.440,221.130
-1.151,-1.294,0.710,36.133,75.195,243.225
-1.051,-0.647,0.689,47.913,51.636,255.615
-0.931,-0.221,0.833,57.983,28.381,254.333
-0.827,0.052,1.056,64.209,12.024,244.507
-0.758,0.183,1.137,69.580,8.423,231.445
-0.787,0.091,1.211,70.129,14.099,219.360
-0.859,-0.047,1.043,64.331,32.043,216.858
-0.910,0.078,0.815,52.734,53.101,231.750
-0.932,0.225,0.482,36.926,72.693,250.183
-0.754,0.799,0.162,22.949,83.496,270.203
-0.184,2.122,0.019,16.968,71.716,289.429
0.270,2.767,0.029,21.851,49.316,262.878
0.503,2.659,0.137,25.391,33.386,200.073
0.463,2.145,0.283,25.085,23.865,143.066
0.366,1.486,0.429,21.362,21.790,103.943
0.293,1.138,0.641,19.348,21.545,91.125
0.267,0.957,0.684,17.517,30.090,88.440
0.322,0.970,0.603,15.076,41.443,87.646
0.414,1.081,0.662,12.207,44.434,87.524
0.495,1.147,0.753,8.667,48.340,79.895
0.465,1.202,0.599,5.432,57.434,68.054
0.383,1.093,0.419,0.854,63.416,52.063
0.364,0.963,0.495,-2.808,53.406,37.903
0.339,0.813,0.603,-0.732,37.842,27.344
0.311,0.721,0.657,3.601,27.039,21.057
0.343,0.688,0.760,5.554,17.578,18.188
0.357,0.586,0.928,5.981,10.071,15.076
0.390,0.518,1.005,4.456,11.047,14.038
0.421,0.494,1.005,1.892,17.395,15.625
0.437,0.486,0.935,-1.648,25.146,15.869
0.464,0.487,0.828,-5.432,31.982,15.991
0.492,0.457,0.789,-9.033,34.302,14.771
0.520,0.461,0.725,-13.062,37.720,14.404
0.526,0.444,0.616,-15.991,40.833,12.756
0.548,0.443,0.485,-18.921,41.199,10.986
0.595,0.451,0.446,-20.935,35.828,10.010
0.629,0.504,0.414,-20.813,27.710,7.935
0.658,0.524,0.417,-19.470,19.470,3.601
0.667,0.503,0.479,-17.944,10.742,-2.686
0.673,0.467,0.503,-17.639,6.042,-8.179
0.667,0.388,0.527,-17.578,4.028,-13.672
0.667,0.328,0.627,-18.188,1.953,-17.212
0.675,0.321,0.670,-20.569,3.479,-17.944
0.639,0.291,0.623,-21.423,7.751,-19.653
0.626,0.288,0.603,-20.752,7.629,-21.851
0.598,0.277,0.633,-19.470,4.578,-25.269
0.589,0.288,0.605,-16.602,1.648,-29.419
0.580,0.297,0.618,-14.160,-2.563,-33.752
0.545,0.219,0.710,-13.855,-7.080,-40.222
0.559,0.199,0.760,-15.625,-6.714,-44.067
0.562,0.203,0.794,-18.677,-3.662,-45.898
0.537,0.148,0.802,-23.132,1.587,-50.476
0.509,0.178,0.687,-26.550,9.460,-52.429
0.466,0.114,0.604,-27.954,12.573,-55.908
0.443,0.056,0.569,-27.466,9.705,-58.716
0.427,-0.025,0.511,-26.245,6.531,-59.692
0.424,-0.103,0.536,-24.475,0.854,-59.692
0.462,-0.067,0.587,-22.705,-4.700,-56.213
0.466,-0.057,0.575,-22.217,-6.592,-53.894
0.473,-0.086,0.587,-23.132,-7.874,-54.321
0.502,-0.052,0.632,-23.315,-10.742,-53.467
0.534,0.015,0.633,-21.423,-13.672,-54.688
0.528,-0.023,0.681,-18.433,-18.127,-60.425
0.503,-0.123,0.743,-17.212,-20.874,-67.383
0.465,-0.219,0.776,-17.151,-19.592,-70.557
0.431,-0.339,0.808,-18.616,-16.418,-71.411
0.384,-0.423,0.791,-21.301,-11.353,-69.031
0.380,-0.451,0.718,-22.827,-6.592,-64.087
0.410,-0.435,0.689,-22.583,-7.507,-58.594
0.462,-0.406,0.675,-20.630,-11.169,-53.711
0.533,-0.297,0.667,-18.677,-15.198,-48.889
0.575,-0.247,0.694,-15.991,-20.142,-48.401
0.581,-0.223,0.722,-12.573,-25.635,-53.772
