aX,aY,aZ,gX,gY,gZ
0.116,-2.820,-0.459,-96.924,-86.731,5.371
-0.046,-3.290,-0.562,-75.195,-98.633,0.610
-0.269,-3.706,-0.571,-61.951,-117.737,21.362
-0.492,-4.000,-0.636,-53.406,-132.874,61.768
-0.584,-4.000,-0.480,-52.307,-136.780,112.427
-0.582,-4.000,-0.120,-55.237,-122.253,153.320
-0.584,-4.000,0.203,-37.964,-102.966,194.702
-0.713,-4.000,0.435,15.991,-87.646,203.003
-0.985,-4.000,0.697,69.031,-84.717,209.167
-1.173,-4.000,0.997,93.201,-85.938,233.276
-1.427,-3.782,1.268,83.252,-93.323,273.437
-1.599,-3.409,1.493,84.717,-93.811,317.932
-1.743,-3.165,1.549,120.117,-79.895,336.670
-1.979,-2.915,1.515,144.531,-72.998,361.023
-2.166,-2.459,1.501,167.358,-66.467,378.906
-2.234,-2.298,1.364,214.050,-46.387,362.793
-2.408,-2.185,1.203,264.709,-35.889,349.976
-2.519,-1.915,1.103,275.024,-46.082,372.253
-2.547,-1.692,1.023,265.015,-63.049,394.287
-2.473,-1.609,1.176,251.465,-85.571,410.278
-2.328,-1.389,1.718,226.196,-107.178,426.697
-2.239,-1.083,2.179,222.473,-111.328,439.087
-2.153,-0.860,2.527,254.578,-100.525,444.031
-2.093,-0.587,2.803,283.081,-82.458,439.514
-2.117,-0.131,2.789,295.532,-56.213,425.842
-2.138,0.299,2.613,297.363,-32.776,397.278
-2.078,0.607,2.374,286.804,-17.883,355.225
-1.910,0.765,2.201,252.136,-17.212,309.387
-1.673,0.800,2.082,194.275,-24.292,270.874
-1.477,0.803,2.015,132.568,-31.372,241.638
-1.287,0.768,1.924,92.590,-36.804,216.553
-1.100,0.769,1.848,76.477,-41.199,190.674
-0.942,0.769,1.734,79.407,-43.823,164.612
-0.795,0.734,1.614,89.172,-49.805,145.142
-0.704,0.692,1.624,90.210,-61.646,137.268
-0.668,0.721,1.721,73.669,-69.214,141.541
-0.669,0.873,1.811,51.392,-70.618,155.457
-0.558,1.078,1.935,31.982,-71.106,168.213
-0.395,1.221,1.976,16.602,-66.772,171.265
-0.267,1.385,1.913,1.099,-54.443,168.335
-0.170,1.619,1.864,-10.010,-38.147,160.034
-0.092,1.776,1.767,-0.854,-18.616,139.221
-0.060,1.836,1.546,19.836,3.784,108.704
-0.045,1.812,1.287,37.781,25.269,73.730
-0.004,1.698,1.044,52.429,41.504,37.354
0.012,1.513,0.814,63.477,54.077,4.272
0.002,1.267,0.548,71.655,63.843,-22.827
0.011,0.975,0.339,75.439,66.223,-44.922
0.056,0.648,0.197,72.571,59.570,-60.303
0.176,0.386,0.202,55.725,47.607,-65.491
0.300,0.242,0.321,35.889,34.973,-61.646
